source,country,lang,date,categories,wtp_signals,platform_sentiment,engagement,segment_hints,text_preview,url
appstore,korea,en,2026-03-03,,,0.00,0,,"not available for foreigners, so why do you have an English version of the app?",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2025-11-28,,,0.00,0,,doesn't Allow foreigners to use it 😡,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2025-09-30,,,0.00,0,,korea don't want foreigners using this app.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2025-08-21,banking,,0.00,3,,They're too lazy to figure out how to set up bank accounts for foreign nationals,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2025-02-27,,,0.00,1,,I can not use in my new phone always error,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2024-11-14,,,0.00,9,,This app is only for Koreans! Really? That’s so rude. Was that superficial Korean politeness on vacation when the app was being developed?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2024-07-29,,,0.00,0,,외국인 안돼요 !!! 😤,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2024-02-05,housing,,0.00,5,,Why has kakao been unable to implement a system where registered foreigners are able to use their kakao bank services? Toss bank is a similar financial service that allows registered foreigners to sign up with no problem. It seems either kakao is lazy or indifferent.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2023-12-19,banking,,0.00,2,,Update impossible needed to apply for a credit card.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2023-06-24,,,0.00,3,,Not even working Korean citizen outside of Korea(On a new phone). Imma move out my funds.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2023-05-07,,,0.00,0,,Foreigners cannot use it.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2023-03-24,,,0.00,5,,Wow..still no service for foreigners. Living here 10 yrs+ and still treated thus. 최악 입니다,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2022-12-18,,,0.75,0,,Very easy to use,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2022-10-31,,,0.00,0,,Only for Koreans,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2022-08-13,,,0.00,15,,"no support for overseas koreans either, identified only as a foreigner and that they cant do anything",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2022-07-29,,,0.00,0,,국내 거주 외국인 사용할수 없다니 종나 족같다.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2022-07-26,banking,,0.25,22,,Only for Koreans. A big fan of Kakao products but restricting foerigners from opening a bank account with a valid Korean ID is something that should be addressed.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2022-07-25,,,1.00,0,,best bank app in South Korea,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2022-07-12,,,0.25,1,,No foreign service,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2022-06-09,community,,0.00,11,,Customer service is ridiculous. Not user friendly.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2022-04-18,,,0.00,14,,I don't know how many time katalk has to hear it before they finally answer. There's no service for foreigners...i don't know why... we are a big market... how long will you continue to ignore us?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2022-02-13,discrimination,,0.00,5,"{""nationality"": ""korean""}","Racist bank. They actively block you from joining, even as a Korean resident, purely because of your race.",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2021-12-13,visa|banking|housing,,0.25,22,,Kakao banking one of the most convenient banking system apparently only local residents can be used. If the system can be more flexible such as provide services to the foreigners in Korea base on Visa status . Kakao banking will be more widely used (100%)more by many people. 카카오뱅킹 너무편리하게 사용할 수 있는 시스,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-10-20,,,0.00,14,,Terrible. Apps that posted on google play should have english version even if we can't open up an account.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-10-07,language,,0.00,1,,No English option,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2021-09-30,,,0.00,0,,외국인도 되는 날 기다리고 있습니다 ^^,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-09-15,,,0.00,5,,Shouldhave put a disclaimer saying that foreigners are not allowee to use this service.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
