source,country,lang,date,categories,wtp_signals,platform_sentiment,engagement,segment_hints,text_preview,url
youtube,korea,en,2025-04-02,housing|community|work_culture|family|cost_of_living|mental_health,,0.50,100528,,"I’m Korean, born and raised in this country, and after watching this video, I just sat in silence for a while. Not because it shocked me, but because it said out loud what so many of us already feel deep inside: that it’s too late. There’s no fixing this anymore.  I’m in my early 30s now, living in ",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,housing|mental_health,,0.50,2991,,"I'm Hungarian, and your words resonate with me deeply. Although we're not suffering from the exact same issues (no insane burnout culture here, just a country that is stolen from under our feet and left rotting), we also suffer from hopelessness as we start to recognise that the diminishing number o",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,visa,,0.50,0,,Don’t worry they will just bring immigration and pay them less also 😂,https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,work_culture|family,,0.50,1540,,"The money they got doesn't always spend on raising kids. It could be speechless, but it is actually true. If younger generations were exhausted for constantly working way longer than usual, while the salary stays the same and not even paid well for overtime, then it's possible for them thinking ""I'm",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,housing,,0.50,10985,,It's funny how both Koreas are a different type of dystopia.,https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,housing,,0.50,17305,,"Real talk.. As a person in south korea in 30s, I wake up at 5AM and go to sleep at 9PM. I don't have money for a house and I have to take care of my old parents. Can I make a baby? Hell no. I can't even meet a woman now, since I got no time for it. And some people argue that I didn't try hard enough",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,mental_health,,0.50,983,"{""nationality"": ""american"", ""role"": ""teacher""}",My heart breaks for you. I lived in S. Korea for 6 months as an ESL teacher (I'm American) and never saw so much depression and hopelessness.  I wish you could come to the states where at least there is a better quality of life and less work load than Korea.  Not to mention less air pollution.,https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,community|cost_of_living,,0.50,4453,"{""role"": ""student""}","I'm a high schooler in second year in Korea, studying at a foreign language high school. The ironic thing here is that the school is actively encouraging insane studying hours (i wake up at 6 a.m. and school technically ends at 4 p.m, but after that we have extracurriculars and nocturnal study, and ",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,cost_of_living,,0.50,14610,,"So per usual, countries want more babies while offering no help to take care of the babies they want more of. If life is expensive for me, why would I make more of it when I can barely take care of myself?",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,housing|community|cost_of_living,,0.50,690,,"I know this videos main focus is South Korea, but I’m in the US, and a lot of my friends are in their late 20s early 30s and don’t have kids because the cost to have kids is too expensive, we can barely afford rent and groceries.",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,tax,,0.50,101,,"@noodle_taxthe wolves are the old rich people that would benefit off having more babies for a better economy for their children and themselves, and the sheep are pretty obvious here",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,tax,,0.50,10,,@noodle_tax money or the elders are the wolves and the couples are the sheep.,https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,housing|mental_health,I spent,0.50,16759,,"I’m Korean, and I’m currently living in Australia. The moment I arrived, I felt it. “This is the real world.” For the first time, I saw what it means for people to actually live — not just exist.  I had always known, at least intellectually, that Korea was a high-pressure society and that Western co",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,housing|cost_of_living,,0.50,0,,"​​@5ersxI hope they don't crumble like that either, but they need a serious revamping of their government and societal standards. Hell, the US needs the same too right now. We have skyrocketing living costs but the wages people are getting paid hasn't kept up at all. Homes are now a dream and you're",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,housing,,0.50,11718,,"Rent is too damn high.  Even with fewer people, they just keep raising it.",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,housing|cost_of_living,,0.50,242,,"the main problem is the gov zoning putting all the work places into expensive cities which forces everyone to live on top of each other in the expensive city that noone can afford  back in the day everyone had their own wells, septic systems, fuel from tress on their land for heating and the kids we",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,housing,,0.50,161,,"If I give you a thousand bucks to buy a Computer, would you: A: buy a mac B: buy a prebuilt C: build your own D: pay for two days of rent",https://youtube.com/watch?v=Ufmu1WD2TSk
youtube,korea,en,2025-04-02,cost_of_living,,0.50,187,,It's not about fertility. It's about AFFORDABILITY.,https://youtube.com/watch?v=Ufmu1WD2TSk
